# E (eV),Tr beamline
1.030033,0.872858
1.300334,0.874588
1.570634,0.874210
1.840934,0.871805
2.111235,0.866770
2.381535,0.858128
2.651835,0.843617
2.922136,0.818694
3.192436,0.773815
3.462736,0.684675
3.733037,0.487184
4.003337,0.094728
4.273637,0.000000
4.543938,0.009961
4.814238,0.344326
5.084538,0.599564
5.354839,0.720336
5.625139,0.782928
5.895439,0.818967
6.165740,0.841581
6.436040,0.856625
6.706340,0.867066
6.976641,0.874539
7.246941,0.879906
7.517241,0.883562
7.787542,0.885905
8.057842,0.886896
8.328142,0.886191
8.598443,0.883258
8.868743,0.876819
9.139043,0.863972
9.409344,0.837737
9.679644,0.778038
9.949944,0.612192
10.220024,0.125330
10.490054,0.000086
10.760084,0.214946
11.030114,0.605458
11.300144,0.753192
11.570174,0.815046
11.840204,0.846407
12.110234,0.864364
12.380264,0.875248
12.650294,0.881609
12.920324,0.884039
13.190354,0.880600
13.460384,0.861779
13.730414,0.757586
14.000444,0.099462
14.270474,0.298401
14.540504,0.769692
14.810535,0.860504
15.080565,0.884774
15.350595,0.895799
15.620625,0.902137
15.890655,0.906324
16.160685,0.909408
16.430715,0.911748
16.700745,0.913697
16.970775,0.915293
17.240805,0.916678
17.510835,0.917899
17.780865,0.918959
18.050895,0.919854
18.320925,0.920537
18.590955,0.921036
18.860985,0.921185
19.131015,0.920739
19.401045,0.918985
19.671075,0.913810
19.941105,0.895110
20.211135,0.697532
20.481165,0.133903
20.751195,0.553339
21.021225,0.823607
21.291255,0.895273
21.561285,0.909197
21.831315,0.913462
22.101345,0.913618
22.371375,0.908571
22.641405,0.856407
22.911435,0.523976
23.181465,0.715017
23.451495,0.779156
23.721525,0.609004
23.991555,0.160630
24.261585,0.049765
24.531615,0.347053
24.801645,0.651460
25.071675,0.787020
25.341705,0.848060
25.611735,0.875746
25.881765,0.891320
26.151795,0.901269
26.421825,0.908161
26.691855,0.913262
26.961885,0.917189
27.231915,0.920349
27.501945,0.922953
27.771975,0.925184
28.042005,0.927086
28.312035,0.928743
28.582065,0.930184
28.852095,0.931381
29.122125,0.932285
29.392155,0.932598
29.662185,0.931059
29.932215,0.902376
30.202245,0.674625
30.472275,0.665750
30.742305,0.852559
31.012335,0.902683
31.282365,0.925584
31.552395,0.936081
31.822425,0.937289
32.092455,0.937358
32.362485,0.936668
32.632515,0.935134
32.902545,0.932466
33.172575,0.928132
33.442605,0.921188
33.712635,0.909744
33.982665,0.888225
34.252695,0.795533
34.522725,0.644106
34.792755,0.568837
35.062785,0.360753
35.332815,0.127558
35.602845,0.049267
35.872875,0.026962
36.142905,0.008206
36.412935,0.021764
36.682965,0.173560
36.952995,0.409906
37.223025,0.575689
37.493055,0.670127
37.763085,0.718318
38.033115,0.725323
38.303145,0.684025
38.573175,0.574020
38.843205,0.375118
39.113235,0.175102
39.383265,0.068577
39.653295,0.030634
39.923325,0.033992
40.193355,0.108012
40.463385,0.240865
40.733415,0.373747
41.003445,0.481098
41.273475,0.563771
41.543505,0.626929
41.813535,0.674052
42.083565,0.709387
42.353595,0.736483
42.623625,0.757830
42.893655,0.775056
43.163685,0.789203
43.433715,0.801014
43.703745,0.811030
43.973775,0.819638
44.243805,0.827113
44.513835,0.833652
44.783865,0.839418
45.053895,0.844549
45.323925,0.849176
45.593955,0.853331
45.863985,0.857122
46.134015,0.860552
46.404045,0.863700
46.674075,0.866594
46.944105,0.869271
47.214135,0.871736
47.484165,0.874015
47.754195,0.876101
48.024225,0.877945
48.294255,0.879419
48.564285,0.880152
48.834315,0.877986
49.104345,0.828164
49.374375,0.662908
49.644405,0.575155
49.914435,0.583630
50.184465,0.726914
50.454495,0.811980
50.724525,0.844914
50.994555,0.860434
51.264585,0.871097
51.534615,0.884724
51.804645,0.892411
52.074675,0.894523
52.344705,0.896008
52.614735,0.897278
52.884765,0.898433
53.154795,0.899494
53.424825,0.900480
53.694855,0.901406
53.964885,0.902295
54.234915,0.903160
54.504945,0.904000
54.774975,0.904812
55.045005,0.905596
55.315035,0.906355
55.585065,0.907095
55.855095,0.907814
56.125125,0.908506
56.395155,0.909163
56.665185,0.909776
56.935215,0.910281
57.205245,0.910381
57.475275,0.902709
57.745305,0.856265
58.015335,0.832840
58.285365,0.818576
58.555395,0.830849
58.825425,0.871095
59.095455,0.882333
59.365485,0.867445
59.635515,0.868139
59.905545,0.862450
60.175575,0.877221
60.445605,0.897853
60.715635,0.907895
60.985665,0.911997
61.255695,0.914238
61.525725,0.915663
61.795755,0.916652
62.065785,0.917908
62.335815,0.917471
62.605845,0.913528
62.875875,0.894062
63.145905,0.779339
63.415935,0.614278
63.685965,0.497413
63.955995,0.449918
64.226025,0.487309
64.496055,0.622662
64.766085,0.739792
65.036115,0.803102
65.306145,0.837050
65.576175,0.856855
65.846205,0.870399
66.116235,0.883396
66.386265,0.897542
66.656295,0.908599
66.926325,0.913074
67.196355,0.915394
67.466385,0.917110
67.736415,0.918523
68.006445,0.919737
68.276475,0.920810
68.546505,0.921787
68.816535,0.922694
69.086565,0.923543
69.356595,0.924353
69.626625,0.925133
69.896655,0.925890
70.166685,0.926626
70.436715,0.927344
70.706745,0.928048
70.976775,0.928742
71.246805,0.929435
71.516835,0.930124
71.786865,0.930812
72.056895,0.931510
72.326925,0.932218
72.596955,0.932922
72.866985,0.933640
73.137015,0.934371
73.407045,0.935110
73.677075,0.935860
73.947105,0.936618
74.217135,0.937375
74.487165,0.938131
74.757195,0.938860
75.027225,0.939521
75.297255,0.940051
75.567285,0.940311
75.837315,0.939989
76.107345,0.938314
76.377375,0.932671
76.647405,0.903658
76.917435,0.792307
77.187465,0.653767
77.457495,0.565578
77.727525,0.433106
77.997555,0.275074
78.267585,0.261631
78.537615,0.342722
78.807645,0.387040
79.077675,0.411528
79.347705,0.451754
79.617735,0.542591
79.887765,0.606407
80.157795,0.598816
80.427825,0.636589
80.697855,0.724644
80.967885,0.794224
81.237915,0.837264
81.507945,0.864212
81.777975,0.883312
82.048005,0.897493
82.318035,0.904599
82.588065,0.900378
82.858095,0.831207
83.128125,0.715598
83.398155,0.618798
83.668185,0.572468
83.938215,0.537202
84.208245,0.493806
84.478275,0.502810
84.748305,0.573005
85.018335,0.647240
85.288365,0.628402
85.558395,0.564109
85.828425,0.570806
86.098455,0.577482
86.368485,0.540555
86.638515,0.551397
86.908545,0.614392
87.178575,0.696485
87.448605,0.770605
87.718635,0.820281
87.988665,0.852045
88.258695,0.869997
88.528725,0.881673
88.798755,0.889710
89.068785,0.895076
89.338815,0.895746
