# E (eV),Tr Ideal
1.000000,0.872616
1.010011,0.872721
1.020022,0.872827
1.030033,0.872933
1.040044,0.873038
1.050056,0.873144
1.060067,0.873250
1.070078,0.873355
1.080089,0.873461
1.090100,0.873537
1.100111,0.873612
1.110122,0.873686
1.120133,0.873760
1.130145,0.873835
1.140156,0.873909
1.150167,0.873983
1.160178,0.874058
1.170189,0.874132
1.180200,0.874187
1.190211,0.874223
1.200222,0.874260
1.210234,0.874296
1.220245,0.874333
1.230256,0.874369
1.240267,0.874406
1.250278,0.874442
1.260289,0.874479
1.270300,0.874516
1.280311,0.874552
1.290323,0.874589
1.300334,0.874610
1.310345,0.874611
1.320356,0.874612
1.330367,0.874613
1.340378,0.874614
1.350389,0.874615
1.360400,0.874616
1.370412,0.874627
1.380423,0.874639
1.390434,0.874651
1.400445,0.874663
1.410456,0.874673
1.420467,0.874650
1.430478,0.874628
1.440489,0.874606
1.450501,0.874584
1.460512,0.874562
1.470523,0.874540
1.480534,0.874518
1.490545,0.874496
1.500556,0.874474
1.510567,0.874451
1.520578,0.874405
1.530590,0.874354
1.540601,0.874304
1.550612,0.874253
1.560623,0.874203
1.570634,0.874152
1.580645,0.874101
1.590656,0.874051
1.600667,0.874000
1.610679,0.873949
1.620690,0.873865
1.630701,0.873781
1.640712,0.873697
1.650723,0.873613
1.660734,0.873529
1.670745,0.873445
1.680756,0.873361
1.690768,0.873277
1.700779,0.873193
1.710790,0.873110
1.720801,0.873005
1.730812,0.872885
1.740823,0.872764
1.750834,0.872644
1.760845,0.872534
1.770857,0.872427
1.780868,0.872319
1.790879,0.872211
1.800890,0.872104
1.810901,0.871996
1.820912,0.871888
1.830923,0.871762
1.840934,0.871610
1.850945,0.871459
1.860957,0.871307
1.870968,0.871155
1.880979,0.871003
1.890990,0.870851
1.901001,0.870699
1.911012,0.870548
1.921023,0.870396
1.931034,0.870244
1.941046,0.870052
1.951057,0.869855
1.961068,0.869658
1.971079,0.869462
1.981090,0.869265
1.991101,0.869068
2.001112,0.868872
2.011123,0.868675
2.021135,0.868479
2.031146,0.868273
2.041157,0.868029
2.051168,0.867786
2.061179,0.867546
2.071190,0.867318
2.081201,0.867090
2.091212,0.866862
2.101224,0.866634
2.111235,0.866406
2.121246,0.866152
2.131257,0.865873
2.141268,0.865594
2.151279,0.865314
2.161290,0.865035
2.171301,0.864756
2.181313,0.864477
2.191324,0.864198
2.201335,0.863919
2.211346,0.863616
2.221357,0.863280
2.231368,0.862945
2.241379,0.862610
2.251390,0.862275
2.261402,0.861940
2.271413,0.861605
2.281424,0.861271
2.291435,0.860901
2.301446,0.860505
2.311457,0.860109
2.321468,0.859718
2.331479,0.859339
2.341491,0.858960
2.351502,0.858582
2.361513,0.858204
2.371524,0.857797
2.381535,0.857353
2.391546,0.856910
2.401557,0.856466
2.411568,0.856023
2.421580,0.855580
2.431591,0.855137
2.441602,0.854645
2.451613,0.854133
2.461624,0.853621
2.471635,0.853110
2.481646,0.852599
2.491657,0.852088
2.501669,0.851578
2.511680,0.851002
2.521691,0.850410
2.531702,0.849818
2.541713,0.849230
2.551724,0.848658
2.561735,0.848085
2.571746,0.847514
2.581758,0.846883
2.591769,0.846227
2.601780,0.845572
2.611791,0.844917
2.621802,0.844263
2.631813,0.843590
2.641824,0.842852
2.651835,0.842114
2.661846,0.841377
2.671858,0.840641
2.681869,0.839905
2.691880,0.839105
2.701891,0.838272
2.711902,0.837439
2.721913,0.836608
2.731924,0.835791
2.741935,0.834980
2.751947,0.834059
2.761958,0.833135
2.771969,0.832211
2.781980,0.831289
2.791991,0.830367
2.802002,0.829427
2.812013,0.828371
2.822024,0.827316
2.832036,0.826263
2.842047,0.825211
2.852058,0.824161
2.862069,0.823080
2.872080,0.821875
2.882091,0.820672
2.892102,0.819489
2.902113,0.818308
2.912125,0.817129
2.922136,0.815930
2.932147,0.814601
2.942158,0.813275
2.952169,0.811950
2.962180,0.810624
2.972191,0.809151
2.982202,0.807681
2.992214,0.806213
3.002225,0.804748
3.012236,0.803141
3.022247,0.801511
3.032258,0.799898
3.042269,0.798297
3.052280,0.796581
3.062291,0.794793
3.072303,0.793010
3.082314,0.791230
3.092325,0.789383
3.102336,0.787388
3.112347,0.785399
3.122358,0.783414
3.132369,0.781434
3.142380,0.779207
3.152392,0.776978
3.162403,0.774769
3.172414,0.772576
3.182425,0.770243
3.192436,0.767799
3.202447,0.765363
3.212458,0.762885
3.222469,0.760208
3.232481,0.757540
3.242492,0.754881
3.252503,0.751997
3.262514,0.749067
3.272525,0.746155
3.282536,0.743139
3.292547,0.739931
3.302558,0.736737
3.312570,0.733557
3.322581,0.730036
3.332592,0.726505
3.342603,0.722992
3.352614,0.719307
3.362625,0.715390
3.372636,0.711495
3.382647,0.707621
3.392659,0.703327
3.402670,0.699011
3.412681,0.694721
3.422692,0.690301
3.432703,0.685585
3.442714,0.680902
3.452725,0.675847
3.462736,0.670797
3.472747,0.665541
3.482759,0.660090
3.492770,0.654646
3.502781,0.648749
3.512792,0.642906
3.522803,0.636748
3.532814,0.630427
3.542825,0.624067
3.552836,0.617205
3.562848,0.610419
3.572859,0.603200
3.582870,0.595810
3.592881,0.588374
3.602892,0.580317
3.612903,0.572357
3.622914,0.563968
3.632925,0.555405
3.642937,0.546390
3.652948,0.537312
3.662959,0.527668
3.672970,0.518046
3.682981,0.507722
3.692992,0.497506
3.703003,0.486491
3.713014,0.475644
3.723026,0.463905
3.733037,0.452369
3.743048,0.439910
3.753059,0.427637
3.763070,0.414470
3.773081,0.401521
3.783092,0.387855
3.793103,0.373777
3.803115,0.359411
3.813126,0.344810
3.823137,0.329742
3.833148,0.314241
3.843159,0.298562
3.853170,0.282746
3.863181,0.266487
3.873192,0.249928
3.883204,0.233379
3.893215,0.216886
3.903226,0.199988
3.913237,0.183308
3.923248,0.166672
3.933259,0.150231
3.943270,0.134075
3.953281,0.118349
3.963293,0.103147
3.973304,0.088625
3.983315,0.074891
3.993326,0.062113
4.003337,0.050473
4.013348,0.039976
4.023359,0.030646
4.033370,0.022733
4.043382,0.016139
4.053393,0.010921
4.063404,0.006926
4.073415,0.004099
4.083426,0.002197
4.093437,0.001049
4.103448,0.000433
4.113459,0.000147
4.123471,0.000038
4.133482,0.000007
4.143493,0.000001
4.153504,0.000000
4.163515,0.000000
4.173526,0.000000
4.183537,0.000000
4.193548,0.000000
4.203560,0.000000
4.213571,0.000000
4.223582,0.000000
4.233593,0.000000
4.243604,0.000000
4.253615,0.000000
4.263626,0.000000
4.273637,0.000000
4.283648,0.000000
4.293660,0.000000
4.303671,0.000000
4.313682,0.000000
4.323693,0.000000
4.333704,0.000000
4.343715,0.000000
4.353726,0.000000
4.363737,0.000000
4.373749,0.000000
4.383760,0.000000
4.393771,0.000000
4.403782,0.000000
4.413793,0.000000
4.423804,0.000003
4.433815,0.000018
4.443826,0.000075
4.453838,0.000240
4.463849,0.000625
4.473860,0.001378
4.483871,0.002686
4.493882,0.004736
4.503893,0.007681
4.513904,0.011662
4.523915,0.016802
4.533927,0.023096
4.543938,0.030663
4.553949,0.039303
4.563960,0.049122
4.573971,0.059935
4.583982,0.071658
4.593993,0.084254
4.604004,0.097569
4.614016,0.111310
4.624027,0.125624
4.634038,0.140342
4.644049,0.155427
4.654060,0.170739
4.664071,0.186039
4.674082,0.201360
4.684093,0.216662
4.694105,0.231975
4.704116,0.247172
4.714127,0.262300
4.724138,0.276959
4.734149,0.291514
4.744160,0.305890
4.754171,0.319949
4.764182,0.333706
4.774194,0.347140
4.784205,0.360506
4.794216,0.373230
4.804227,0.385912
4.814238,0.398125
4.824249,0.410030
4.834260,0.421770
4.844271,0.432974
4.854283,0.444073
4.864294,0.454681
4.874305,0.465182
4.884316,0.475293
4.894327,0.485045
4.904338,0.494768
4.914349,0.503918
4.924360,0.512963
4.934372,0.521713
4.944383,0.530245
4.954394,0.538534
4.964405,0.546362
4.974416,0.554198
4.984427,0.561872
4.994438,0.569021
5.004449,0.576261
5.014461,0.583174
5.024472,0.589910
5.034483,0.596669
5.044494,0.602803
5.054505,0.608994
5.064516,0.615067
5.074527,0.620841
5.084538,0.626665
5.094549,0.632094
5.104561,0.637412
5.114572,0.642773
5.124583,0.647745
5.134594,0.652756
5.144605,0.657617
5.154616,0.662203
5.164627,0.666821
5.174638,0.671257
5.184650,0.675580
5.194661,0.679908
5.204672,0.683911
5.214683,0.687899
5.224694,0.691870
5.234705,0.695612
5.244716,0.699376
5.254727,0.702982
5.264739,0.706430
5.274750,0.709896
5.284761,0.713247
5.294772,0.716539
5.304783,0.719674
5.314794,0.722775
5.324805,0.725858
5.334816,0.728882
5.344828,0.731671
5.354839,0.734470
5.364850,0.737280
5.374861,0.740026
5.384872,0.742620
5.394883,0.745223
5.404894,0.747777
5.414905,0.750212
5.424917,0.752563
5.434928,0.754921
5.444939,0.757286
5.454950,0.759518
5.464961,0.761709
5.474972,0.763887
5.484983,0.766021
5.494994,0.768006
5.505006,0.769985
5.515017,0.771969
5.525028,0.773947
5.535039,0.775791
5.545050,0.777640
5.555061,0.779492
5.565072,0.781322
5.575083,0.783049
5.585095,0.784780
5.595106,0.786471
5.605117,0.788110
5.615128,0.789666
5.625139,0.791225
5.635150,0.792787
5.645161,0.794312
5.655172,0.795770
5.665184,0.797232
5.675195,0.798696
5.685206,0.800124
5.695217,0.801494
5.705228,0.802867
5.715239,0.804201
5.725250,0.805490
5.735261,0.806729
5.745273,0.807970
5.755284,0.809212
5.765295,0.810425
5.775306,0.811588
5.785317,0.812754
5.795328,0.813921
5.805339,0.815058
5.815350,0.816139
5.825362,0.817222
5.835373,0.818278
5.845384,0.819325
5.855395,0.820372
5.865406,0.821400
5.875417,0.822357
5.885428,0.823314
5.895439,0.824273
5.905451,0.825232
5.915462,0.826193
5.925473,0.827152
5.935484,0.828032
5.945495,0.828913
5.955506,0.829782
5.965517,0.830629
5.975528,0.831476
5.985539,0.832324
5.995551,0.833116
6.005562,0.833892
6.015573,0.834670
6.025584,0.835448
6.035595,0.836227
6.045606,0.837007
6.055617,0.837757
6.065628,0.838474
6.075640,0.839191
6.085651,0.839909
6.095662,0.840627
6.105673,0.841347
6.115684,0.842061
6.125695,0.842708
6.135706,0.843337
6.145717,0.843966
6.155729,0.844596
6.165740,0.845226
6.175751,0.845857
6.185762,0.846457
6.195773,0.847038
6.205784,0.847619
6.215795,0.848201
6.225806,0.848784
6.235818,0.849367
6.245829,0.849945
