#ZVView-data-copy:   8-Nov-2020 23:41:31
#=======================================
#
#name:   ROSFOND-2010: CE-140(N,TOT)
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  39182
#data...
#            X            Y
#          MeV        barns
         1e-11      46.7257 
   1.10304e-11      44.5233 
   1.10779e-11      44.4305 
   1.21669e-11      42.4249 
   1.22193e-11      42.3368 
   1.34206e-11      40.4287 
   1.34784e-11      40.3448 
   1.48034e-11      38.5332 
    1.4972e-11      38.3227 
   1.63287e-11      36.7293 
   1.66303e-11      36.4058 
   1.80111e-11      35.0128 
   1.84733e-11      34.5874 
   1.98669e-11      33.3798 
   2.05195e-11      32.8642 
   2.19139e-11      31.8264 
   2.27934e-11      31.2299 
   2.41719e-11      30.3489 
    2.5318e-11      29.6816 
   2.66625e-11      28.9438 
   2.81237e-11      28.2137 
   2.94097e-11      27.6078 
   3.12388e-11      26.8236 
     3.244e-11      26.3377 
   3.47006e-11      25.5061 
   3.57825e-11      25.1306 
   3.85442e-11      24.2591 
   3.94694e-11      23.9834 
   4.28156e-11      23.0777 
   4.35362e-11      22.8935 
    4.7558e-11      21.9601 
   4.80221e-11      21.8583 
   5.28283e-11      20.9019 
   5.29701e-11      20.8752 
    5.8428e-11      19.9443 
   5.86797e-11      19.9052 
   6.44483e-11       19.062 
   6.51825e-11      18.9643 
   7.10888e-11      18.2247 
   7.24023e-11       18.075 
   7.84136e-11      17.4315 
   8.09891e-11      17.1809 
   8.64931e-11      16.6783 
   9.05943e-11      16.3382 
   9.54051e-11      15.9635 
   1.01339e-10      15.5444 
   1.05235e-10      15.2856 
   1.13357e-10      14.7971 
   1.16078e-10       14.643 
   1.26801e-10      14.0939 
   1.28039e-10      14.0343 
   1.41231e-10      13.4603 
    1.4284e-10      13.3968 
   1.55784e-10      12.9193 
     1.609e-10      12.7484 
   1.71835e-10      12.4064 
   1.81253e-10      12.1401 
    1.8954e-10      11.9208 
   2.05609e-10      11.5371 
    2.0907e-10      11.4597 
   2.30612e-10      11.0261 
   2.33239e-10      10.9783 
